time,bandVelocityActual,currentRMS,feedRateActual,machineRunning,microphoneRMS,temperatureRMS,vibrationRMS,Experiment No,Piece No,Material
2025-12-12 18:18:35,56,1.511744260787964,25,True,0.1309453397989273,23.55867576599121,2.9695122241973877,-1,-1,Empty
2025-12-12 18:18:37,0,1.5410526990890503,0,True,0.1305529773235321,23.542028427124023,3.161904573440552,-1,-1,Empty
2025-12-12 18:18:38,56,1.5035418272018433,25,True,0.1271176636219024,23.554513931274418,3.0122225284576416,-1,-1,Empty
2025-12-12 18:18:39,56,1.5581061840057373,25,True,0.1392331719398498,23.546960830688477,3.2296650409698486,-1,-1,Empty
2025-12-12 18:18:41,56,1.5143882036209106,25,True,0.1301740109920501,23.54064178466797,2.9622573852539062,-1,-1,Empty
2025-12-12 18:18:43,56,1.5407772064208984,25,True,0.1208382397890091,23.536170959472656,3.045468807220459,-1,-1,Empty
2025-12-12 18:18:45,56,1.529428005218506,25,True,0.125380590558052,23.56114196777344,3.202453374862671,-1,-1,Empty
2025-12-12 18:18:47,56,1.55939519405365,25,True,0.1337866336107254,23.548967361450195,3.032728910446167,-1,-1,Empty
2025-12-12 18:18:48,56,1.5209397077560425,25,True,0.1207393482327461,23.553436279296875,3.2858104705810547,-1,-1,Empty
2025-12-12 18:18:49,56,1.5558667182922363,25,True,0.1243677660822868,23.551740646362305,3.0978732109069824,-1,-1,Empty
2025-12-12 18:18:50,56,1.4899351596832275,25,True,0.1347326785326004,23.55019760131836,3.198734998703003,-1,-1,Empty
2025-12-12 18:18:53,56,1.5159906148910522,25,True,0.1355575621128082,23.5535888671875,3.1981866359710693,-1,-1,Empty
2025-12-12 18:18:54,56,1.5254395008087158,25,True,0.1173546090722084,23.55066299438477,3.0649845600128174,-1,-1,Empty
2025-12-12 18:18:55,56,1.5379263162612915,25,True,0.1289950907230377,23.551122665405273,3.192824363708496,-1,-1,Empty
2025-12-12 18:18:56,56,1.507807374000549,25,True,0.1295625418424606,23.54804039001465,3.1609110832214355,-1,-1,Empty
2025-12-12 18:18:58,56,1.5297435522079468,25,True,0.1243786290287971,23.55189323425293,3.030165433883667,-1,-1,Empty
2025-12-12 18:18:59,56,1.5552505254745483,25,True,0.1453437358140945,23.538175582885746,3.116539239883423,-1,-1,Empty
2025-12-12 18:19:01,56,1.571670413017273,25,True,0.1189925819635391,23.538175582885746,3.33336877822876,-1,-1,Empty
2025-12-12 18:19:03,56,1.5110313892364502,25,True,0.1337426453828811,23.5360164642334,3.2252283096313477,-1,-1,Empty
2025-12-12 18:19:04,56,1.5618079900741575,25,True,0.1312150657176971,23.536941528320312,3.2200210094451904,-1,-1,Empty
2025-12-12 18:19:06,56,1.5121636390686035,25,True,0.1264066845178604,23.532472610473633,3.163759469985962,-1,-1,Empty
2025-12-12 18:19:08,56,1.5371451377868652,25,True,0.1434142291545868,23.538482666015625,3.30234956741333,-1,-1,Empty
2025-12-12 18:19:09,56,1.5387523174285889,25,True,0.1129951626062393,23.53093147277832,3.1444168090820312,-1,-1,Empty
2025-12-12 18:19:10,56,1.540932536125183,25,True,0.1470069736242294,23.527231216430664,3.0524654388427734,-1,-1,Empty
2025-12-12 18:19:11,56,1.5234324932098389,25,True,0.1667267829179763,23.538330078125,3.540365219116211,-1,-1,Empty
2025-12-12 18:19:12,56,1.5439021587371826,25,True,0.1265230029821396,23.535400390625,3.0611729621887207,-1,-1,Empty
2025-12-12 18:19:14,56,1.4903210401535034,25,True,0.1426437050104141,23.52461051940918,3.0444629192352295,-1,-1,Empty
2025-12-12 18:19:15,56,1.4456602334976196,25,True,0.1374792456626892,23.52414894104004,3.190530300140381,-1,-1,Empty
2025-12-12 18:19:16,56,1.495827317237854,25,True,0.1283766776323318,23.520294189453125,3.733489990234375,-1,-1,Empty
2025-12-12 18:19:17,0,1.5059945583343506,0,True,0.1245046406984329,23.526153564453125,3.432939052581787,-1,-1,Empty
2025-12-12 18:19:18,56,1.4834425449371338,25,True,0.1359811872243881,23.5377140045166,3.1973676681518555,-1,-1,Empty
2025-12-12 18:19:19,56,1.558719038963318,25,True,0.1326035857200622,23.53663444519043,3.1949594020843506,-1,-1,Empty
2025-12-12 18:19:20,56,1.5526039600372314,25,True,0.1404345035552978,23.528310775756836,2.890739679336548,-1,-1,Empty
2025-12-12 18:19:21,56,1.5408059358596802,25,True,0.1258755773305893,23.520912170410156,2.880497455596924,-1,-1,Empty
2025-12-12 18:19:22,56,1.5748506784439087,25,True,0.1283641010522842,23.51150894165039,3.260650157928467,-1,-1,Empty
2025-12-12 18:19:27,56,1.53730309009552,25,True,0.1398047357797622,23.53447532653809,3.461423873901367,-1,-1,Empty
2025-12-12 18:19:29,56,1.8356802463531496,25,True,0.4306378066539764,23.52106475830078,30.06816673278809,-1,-1,Empty
2025-12-12 18:19:30,56,2.297800302505493,25,True,0.4536342024803161,23.51968002319336,47.26065444946289,-1,-1,Empty
2025-12-12 18:19:32,56,2.5074150562286377,25,True,0.4775980412960052,23.520912170410156,38.29726028442383,-1,-1,Empty
2025-12-12 18:19:33,56,2.4570982456207275,25,True,0.5412872433662415,23.513051986694336,40.39728164672851,-1,-1,Empty
2025-12-12 18:19:34,56,2.427326917648315,25,True,0.5404821038246155,23.51042938232422,38.50838851928711,-1,-1,Empty
2025-12-12 18:19:36,0,2.502211093902588,0,True,0.6710742712020874,23.50750160217285,58.83815002441406,-1,-1,Empty
2025-12-12 18:19:37,56,2.4438881874084473,25,True,0.5100600719451904,23.50750160217285,37.86626052856445,-1,-1,Empty
2025-12-12 18:19:39,56,2.442335367202759,25,True,0.4980002045631408,23.51505470275879,38.81012725830078,-1,-1,Empty
2025-12-12 18:19:40,56,2.3371787071228027,25,True,0.5013291239738464,23.503955841064453,36.86536407470703,-1,-1,Empty
2025-12-12 18:19:42,56,2.4481308460235596,25,True,0.5504716038703918,23.521528244018555,37.389801025390625,-1,-1,Empty
2025-12-12 18:19:43,56,2.34806489944458,25,True,0.5513581037521362,23.520294189453125,44.3964729309082,-1,-1,Empty
2025-12-12 18:19:44,56,2.420806407928467,25,True,0.5323895812034607,23.523378372192383,38.12223052978515,-1,-1,Empty
2025-12-12 18:19:45,56,2.3594424724578857,25,True,0.5348445177078247,23.53200912475586,37.05529022216797,-1,-1,Empty
2025-12-12 18:19:47,56,2.312102794647217,25,True,0.5012286901473999,23.527847290039062,38.313941955566406,-1,-1,Empty
2025-12-12 18:19:48,56,2.295487880706787,25,True,0.5227207541465759,23.525535583496097,40.227996826171875,-1,-1,Empty
2025-12-12 18:19:50,56,2.304547071456909,25,True,0.5234552025794983,23.543569564819336,37.36700439453125,-1,-1,Empty
2025-12-12 18:19:51,0,2.341463565826416,0,True,0.5613871216773987,23.529542922973633,41.30183410644531,-1,-1,Empty
2025-12-12 18:19:52,56,2.2794458866119385,25,True,0.49503955245018,23.53493881225586,34.93893051147461,-1,-1,Empty
2025-12-12 18:19:53,56,2.246696949005127,25,True,0.5328119993209839,23.5389461517334,39.65682601928711,-1,-1,Empty
2025-12-12 18:19:54,56,2.298997640609741,25,True,0.4725160300731659,23.53139305114746,38.30369186401367,-1,-1,Empty
2025-12-12 18:19:55,56,2.344761848449707,25,True,0.5102658271789551,23.53740501403809,40.7082633972168,-1,-1,Empty
2025-12-12 18:19:56,56,2.2745561599731445,25,True,0.4444969892501831,23.52892684936523,33.69295120239258,-1,-1,Empty
2025-12-12 18:19:57,56,2.327366828918457,25,True,0.5082318782806396,23.53262710571289,36.38492584228515,-1,-1,Empty
2025-12-12 18:19:59,56,2.3123762607574463,25,True,0.4835340678691864,23.521989822387695,34.491275787353516,-1,-1,Empty
2025-12-12 18:20:00,56,2.278130292892456,25,True,0.4763021171092987,23.522605895996097,32.73971176147461,-1,-1,Empty
2025-12-12 18:20:01,56,2.32847261428833,25,True,0.5039106011390686,23.532934188842773,39.816314697265625,-1,-1,Empty
2025-12-12 18:20:02,56,2.300994873046875,25,True,0.4665345549583435,23.526615142822266,36.79728698730469,-1,-1,Empty
2025-12-12 18:20:04,56,2.3017783164978027,25,True,0.4861611127853393,23.535709381103516,39.29873275756836,-1,-1,Empty
2025-12-12 18:20:06,0,2.2862932682037354,25,True,0.4375792741775512,23.52985191345215,38.31985855102539,-1,-1,Empty
2025-12-12 18:20:07,56,2.409324407577514,25,True,0.4549802243709564,23.523378372192383,34.03885269165039,-1,-1,Empty
2025-12-12 18:20:08,0,2.234036445617676,25,True,0.4330666661262512,23.530622482299805,33.80728530883789,-1,-1,Empty
2025-12-12 18:20:09,56,2.336047649383545,25,True,0.4794803857803345,23.525381088256836,42.3689079284668,-1,-1,Empty
2025-12-12 18:20:10,56,2.228642702102661,25,True,0.4815074205398559,23.518291473388672,36.39279556274414,-1,-1,Empty
2025-12-12 18:20:12,56,2.2661986351013184,25,True,0.4235580861568451,23.521991729736328,33.564327239990234,-1,-1,Empty
2025-12-12 18:20:13,56,2.4330146312713623,25,True,0.6736108064651489,23.510583877563477,51.32149124145508,-1,-1,Empty
2025-12-12 18:20:14,56,2.254040241241455,25,True,0.4163685739040375,23.50996780395508,34.53913879394531,-1,-1,Empty
2025-12-12 18:20:15,56,2.2667417526245117,25,True,0.4518910646438598,23.49856185913086,38.315948486328125,-1,-1,Empty
2025-12-12 18:20:16,56,2.303749084472656,25,True,0.4612879157066345,23.50580596923828,36.51212692260742,-1,-1,Empty
2025-12-12 18:20:17,56,2.2138187885284424,25,True,0.4038641154766083,23.49994850158691,33.30289840698242,-1,-1,Empty
2025-12-12 18:20:18,56,2.258513927459717,25,True,0.3986078202724457,23.494707107543945,32.146427154541016,-1,-1,Empty
2025-12-12 18:20:19,56,2.2840042114257812,25,True,0.5278352499008179,23.491931915283203,46.69841384887695,-1,-1,Empty
2025-12-12 18:20:20,56,2.252948045730591,25,True,0.4290093779563904,23.48838806152344,34.3652229309082,-1,-1,Empty
2025-12-12 18:20:21,56,2.2729291915893555,25,True,0.433977872133255,23.491931915283203,37.86967468261719,-1,-1,Empty
2025-12-12 18:20:23,56,2.2100863456726074,25,True,0.4024451971054077,23.47297477722168,36.50357437133789,-1,-1,Empty
2025-12-12 18:20:24,56,2.273942708969116,25,True,0.4201984107494354,23.49501609802246,38.33242416381836,-1,-1,Empty
2025-12-12 18:20:25,56,2.261038303375244,25,True,0.4263272881507873,23.49994850158691,38.30126953125,-1,-1,Empty
2025-12-12 18:20:26,56,,25,True,,,,-1,-1,Empty
2025-12-12 18:20:27,56,2.2434725761413574,25,True,0.4109163284301758,23.491779327392575,34.48232650756836,-1,-1,Empty
2025-12-12 18:20:29,0,2.224135398864746,25,True,0.4259691536426544,23.498252868652344,37.77377700805664,-1,-1,Empty
2025-12-12 18:20:30,56,2.2246575355529785,25,True,0.4510195851325989,23.50071907043457,40.60279846191406,-1,-1,Empty
2025-12-12 18:20:32,56,2.299001932144165,25,True,0.4282979965209961,23.494552612304688,37.8371696472168,-1,-1,Empty
2025-12-12 18:20:33,56,2.2073209285736084,25,True,0.4270205795764923,23.49778938293457,36.68581008911133,-1,-1,Empty
2025-12-12 18:20:34,56,2.2717466354370117,25,True,0.4781598150730133,23.495786666870117,39.01185989379883,-1,-1,Empty
2025-12-12 18:20:36,56,2.231297254562378,25,True,0.3949778974056244,23.52215576171875,35.12196731567383,-1,-1,Empty
2025-12-12 18:20:38,0,2.248600482940674,0,True,0.4731006920337677,23.502260208129883,39.76254653930664,-1,-1,Empty
2025-12-12 18:20:40,56,2.21073579788208,25,True,0.4137163460254669,23.49254989624023,39.26288604736328,-1,-1,Empty
2025-12-12 18:20:42,56,2.154607057571411,25,True,0.446938544511795,23.490083694458008,39.9117546081543,-1,-1,Empty
2025-12-12 18:20:43,56,2.1723358631134033,25,True,0.4001793265342712,23.503032684326172,41.30457305908203,-1,-1,Empty
2025-12-12 18:20:44,56,2.262263298034668,25,True,0.413989245891571,23.507654190063477,40.7604866027832,-1,-1,Empty
2025-12-12 18:20:46,56,2.264758348464966,25,True,0.4518634676933288,23.50981330871582,40.06526184082031,-1,-1,Empty
2025-12-12 18:20:47,56,2.208912134170532,25,True,0.4023600816726684,23.50857925415039,37.58576965332031,-1,-1,Empty
2025-12-12 18:20:48,56,2.1557772159576416,25,True,0.3574879765510559,23.50241470336914,45.04222106933594,-1,-1,Empty
2025-12-12 18:20:50,0,1.614699125289917,0,True,0.3799097239971161,23.523378372192383,13.254328727722168,-1,-1,Empty
2025-12-12 18:20:51,56,1.4914642572402954,25,True,0.133438691496849,23.521989822387695,4.382997512817383,-1,-1,Empty
2025-12-12 18:20:53,56,1.468722939491272,25,True,0.1402210444211959,23.51890754699707,4.523828983306885,-1,-1,Empty
2025-12-12 18:20:54,56,1.51113760471344,25,True,0.1403201818466186,23.523839950561523,4.108059883117676,-1,-1,Empty
